Title of paper,Article DOI (or URL),Journal name,Year of publication,Is there an ASDC?,Justification for non-open data?,All data available,At least some data available,All code available,At least some code available,All data available upon request,At least some data available upon request,no data produced,links work
Photographic Visualization of Weather Forecasts with Generative Adversarial Networks,https://doi.org/10.1175/AIES-D-22-0028.1,AIES,2023,yes,Licensing/Proprietary,n,y,y,y,,n,,y
A Hybrid Physics–AI Model to Improve Hydrological Forecasts,https://doi.org/10.1175/AIES-D-22-0023.1,AIES,2023,yes,Dataset too large,n,y,n,n,,n,,y
Deep Learning–Based Parameter Transfer in Meteorological Data,https://doi.org/10.1175/AIES-D-22-0024.1,AIES,2023,yes,Can be obtained from other entities,n,y,y,y,,n,,y
Can a Machine Learning–Enabled Numerical Model Help Extend Effective Forecast Range through Consistently Trained Subgrid-Scale Models?,https://doi.org/10.1175/AIES-D-22-0050.1,AIES,2023,yes,None,n,n,y,y,n,n,,y
A Primer on Topological Data Analysis to Support Image Analysis Tasks in Environmental Science,https://doi.org/10.1175/AIES-D-22-0039.1,AIES,2023,yes,N/A,y,y,y,y,,,,y
Emulating Rainfall–Runoff-Inundation Model Using Deep Neural Network with Dimensionality Reduction,https://doi.org/10.1175/AIES-D-22-0036.1,AIES,2023,yes,Dataset too large,n,n,n,n,y,y,,
Strictly Enforcing Invertibility and Conservation in CNN-Based Super Resolution for Scientific Datasets,https://doi.org/10.1175/AIES-D-21-0012.1,AIES,2023,yes,N/A,y,y,n,n,,,,y
Physics-Informed Deep Neural Network for Backward-in-Time Prediction: Application to Rayleigh–Bénard Convection,https://doi.org/10.1175/AIES-D-22-0076.1,AIES,2023,yes,N/A,y,y,y,y,,,,y
Global Extreme Heat Forecasting Using Neural Weather Models,https://doi.org/10.1175/AIES-D-22-0035.1,AIES,2023,yes,N/A,y,y,y,y,,,,y
Emulating the Adaptation of Wind Fields to Complex Terrain with Deep Learning,https://doi.org/10.1175/AIES-D-22-0034.1,AIES,2023,yes,None,n,y,y,y,,n,,y
A Real-Time Spatiotemporal Machine Learning Framework for the Prediction of Nearshore Wave Conditions,https://doi.org/10.1175/AIES-D-22-0033.1,AIES,2023,yes,None,y,y,n,n,,,,
Carefully Choose the Baseline: Lessons Learned from Applying XAI Attribution Methods for Regression Tasks in Geoscience,https://doi.org/10.1175/AIES-D-22-0058.1,AIES,2023,yes,N/A,y,y,y,y,,,,y
Convective-Scale Assimilation of Cloud Cover from Photographs Using a Machine Learning Forward Operator,https://doi.org/10.1175/AIES-D-22-0025.1,AIES,2023,yes,N/A,y,y,n,n,,,,y
Creating and Evaluating Uncertainty Estimates with Neural Networks for Environmental-Science Applications,https://doi.org/10.1175/AIES-D-22-0061.1,AIES,2023,yes,N/A,y,y,y,y,,,,y
Detail Enhancement of AIRS/AMSU Temperature and Moisture Profiles Using a 3D Deep Neural Network,https://doi.org/10.1175/AIES-D-22-0037.1,AIES,2023,yes,Dataset too large,n,y,n,n,,n,,y
Subseasonal Prediction of Central European Summer Heatwaves with Linear and Random Forest Machine Learning Models,https://doi.org/10.1175/AIES-D-22-0038.1,AIES,2023,yes,N/A,y,y,y,y,,,,y
Efficient Probabilistic Prediction and Uncertainty Quantification of Tropical Cyclone–Driven Storm Tides and Inundation,https://doi.org/10.1175/AIES-D-22-0040.1,AIES,2023,yes,N/A,y,y,y,y,,,,y
Subseasonal Representation and Predictability of North American Weather Regimes Using Cluster Analysis,https://doi.org/10.1175/AIES-D-22-0051.1,AIES,2023,yes,N/A,y,y,y,y,,,,y
Application of Machine Learning Techniques to Improve Multi-Radar Multi-Sensor (MRMS) Precipitation Estimates in the Western United States,https://doi.org/10.1175/AIES-D-22-0053.1,AIES,2023,yes,N/A,y,y,n,n,,,,y
Bias Correcting Climate Model Simulations Using Unpaired Image-to-Image Translation Networks,https://doi.org/10.1175/AIES-D-22-0031.1,AIES,2023,yes,N/A,y,y,y,y,,,,n
Reducing Southern Ocean Shortwave Radiation Errors in the ERA5 Reanalysis with Machine Learning and 25 Years of Surface Observations,https://doi.org/10.1175/AIES-D-22-0044.1,AIES,2023,yes,N/A,y,y,n,n,,,,y
Let’s Unleash the Network Judgment: A Self-Supervised Approach for Cloud Image Analysis,https://doi.org/10.1175/AIES-D-22-0063.1,AIES,2023,yes,N/A,y,y,y,y,,,,y
Using Machine Learning to Understand Relocation Drivers of Urban Coastal Populations in Response to Flooding,https://doi.org/10.1175/AIES-D-22-0054.1,AIES,2023,yes,Sensitive information,n,n,n,n,n,n,,
Simulation of Atlantic Hurricane Tracks and Features: A Coupled Machine Learning Approach,https://doi.org/10.1175/AIES-D-22-0060.1,AIES,2023,yes,None,n,n,n,n,y,y,,
