Title of paper,Article DOI (or URL),Journal name,Year of publication,Is there an ASDC?,Justification for non-open data?,All data available,At least some data available,All code available,At least some code available,All data available upon request,At least some data available upon request,no data produced,links work
Seismic swarm intelligence inversion with sparse probability distribution of reflectivity,https://doi.org/10.1016/j.aiig.2023.02.001,AI in Geo,2023,no,None,,,,,,,,
Deriving big geochemical data from high-resolution remote sensing data via machine learning: Application to a tailing storage facility in the Witwatersrand goldfields,https://doi.org/10.1016/j.aiig.2023.01.005,AI in Geo,2023,yes,Licensing/Proprietary,n,n,n,n,n,n,,
Unsupervised pre-stack seismic facies analysis constrained by spatial continuity,https://doi.org/10.1016/j.aiig.2023.01.003,AI in Geo,2023,no,None,,,,,,,,
Research on microseismic denoising method based on CBDNet,https://doi.org/10.1016/j.aiig.2023.02.002,AI in Geo,2023,no,None,,,,,,,,
Toward earthquake early warning: A convolutional neural network for rapid earthquake magnitude estimation,https://doi.org/10.1016/j.aiig.2023.03.001,AI in Geo,2023,yes,N/A,y,y,y,y,,,,n
Models of plate tectonics with the Lattice Boltzmann Method,https://doi.org/10.1016/j.aiig.2023.03.002,AI in Geo,2023,yes,N/A,,,,,,,y,
Machine learning elucidates the anatomy of buried carbonate reef from seismic reflection data,https://doi.org/10.1016/j.aiig.2023.04.001,AI in Geo,2023,yes,N/A,y,y,n,n,,,,y
Developing soft-computing regression model for predicting bearing capacity of eccentrically loaded footings on anisotropic clay,https://doi.org/10.1016/j.aiig.2023.05.001,AI in Geo,2023,yes,None,n,n,n,n,y,y,,
Improving patch-based simulation using Generative Adversial Networks,https://doi.org/10.1016/j.aiig.2023.05.002,AI in Geo,2023,no,None,,,,,,,,
Blockly earthquake transformer: A deep learning platform for custom phase picking,https://doi.org/10.1016/j.aiig.2023.05.003,AI in Geo,2023,yes,Can be obtained from other entities,n,y,n,n,,n,,y
Optimization of shale gas fracturing parameters based on artificial intelligence algorithm,https://doi.org/10.1016/j.aiig.2023.08.001,AI in Geo,2023,no,None,,,,,,,,
"Determination of future land use changes using remote sensing imagery and artificial neural network algorithm: A case study of Davao City, Philippines",https://doi.org/10.1016/j.aiig.2023.08.002,AI in Geo,2023,no,None,,,,,,,,
2D magnetotelluric inversion based on ResNet,https://doi.org/10.1016/j.aiig.2023.08.003,AI in Geo,2023,no,None,,,,,,,,
Automated stratigraphic correlation of well logs using Attention Based Dense Network,https://doi.org/10.1016/j.aiig.2023.09.001,AI in Geo,2023,no,None,,,,,,,,
Big geochemical data through remote sensing for dynamic mineral resource monitoring in tailing storage facilities,https://doi.org/10.1016/j.aiig.2023.09.002,AI in Geo,2023,no,None,,,,,,,,
Enhanced crustal and intermediate seismicity in the Hindu Kush-Pamir region revealed by attentive deep learning model,https://doi.org/10.1016/j.aiig.2023.10.002,AI in Geo,2023,yes,N/A,y,y,n,n,,,,y
Uncertainty and explainable analysis of machine learning model for reconstruction of sonic slowness logs,https://doi.org/10.1016/j.aiig.2023.11.002,AI in Geo,2023,no,None,,,,,,,,
Estimating relative diffusion from 3D micro-CT images using CNNs,https://doi.org/10.1016/j.aiig.2023.11.001,AI in Geo,2023,yes,N/A,y,y,n,n,,,,y
