Title of paper,Article DOI (or URL),Journal name,Year of publication,Is there an ASDC?,Justification for non-open data?,All data available,At least some data available,All code available,At least some code available,All data available upon request,At least some data available upon request,no data produced,links work
"Impact of Data Resolution on Tracking Southern Ocean Cyclones
",https://doi.org/10.1175/MWR-D-22-0121.1,Monthly Weather Review,2023,yes,N/A,y,y,y,y,,,,y
Supercell-External Storms and Boundaries Acting as Catalysts for Tornadogenesis,https://doi.org/10.1175/MWR-D-22-0026.1,Monthly Weather Review,2023,yes,None,n,n,n,n,n,n,,y
Diagnosing Near-Surface Model Errors with Candidate Physics Parameterization Schemes for the Multiphysics Rapid Refresh Forecast System (RRFS) Ensemble during Winter over the Northeastern United States and Southern Great Plains,https://doi.org/10.1175/MWR-D-22-0085.1,Monthly Weather Review,2023,yes,N/A,y,y,n,n,,,,y
The Mean Kinematic Structure of the Tropical Cyclone Boundary Layer and Its Relationship to Intensity Change,https://doi.org/10.1175/MWR-D-21-0335.1,Monthly Weather Review,2023,yes,N/A,n,n,n,n,y,y,,y
New Parameterizations of Turbulence Statistics for the Atmospheric Surface Layer,https://doi.org/10.1175/MWR-D-22-0071.1,Monthly Weather Review,2023,yes,N/A,y,y,n,n,,,,
A Statistical Hypothesis Testing Strategy for Adaptively Blending Particle Filters and Ensemble Kalman Filters for Data Assimilation,https://doi.org/10.1175/MWR-D-22-0108.1,Monthly Weather Review,2023,yes,None,n,n,n,n,n,n,,n
Global Observing System Experiments within the Météo-France 4D-Var Data Assimilation System,https://doi.org/10.1175/MWR-D-22-0087.1,Monthly Weather Review,2023,yes,Dataset too large,n,n,n,n,y,y,,
Orographic Controls over Convection in an Inter-Andean Valley in Northern South America,https://doi.org/10.1175/MWR-D-21-0231.1,Monthly Weather Review,2023,yes,N/A,y,y,n,n,,,,y
Impacts of Observation Forward Operator on Infrared Radiance Data Assimilation with Fine Model Resolutions,https://doi.org/10.1175/MWR-D-22-0084.1,Monthly Weather Review,2023,yes,N/A,y,y,n,n,,,,y
Factors Influencing the Track of Hurricane Dorian (2019) in the West Atlantic: Analysis of a HAFS Ensemble,https://doi.org/10.1175/MWR-D-22-0112.1,Monthly Weather Review,2023,yes,N/A,n,n,n,n,y,y,,
The Ensemble Tangent Linear Model Applied to Nonorographic Gravity Wave Drag,https://doi.org/10.1175/MWR-D-22-0164.1,Monthly Weather Review,2023,yes,N/A,y,y,y,y,,,,y
Impacts of Northeastern Pacific Buoy Surface Pressure Observations,https://doi.org/10.1175/MWR-D-22-0124.1,Monthly Weather Review,2023,yes,Sensitive information,n,y,n,n,,n,,y
On the Rapid Weakening of Typhoon Trami (2018): Strong Sea Surface Temperature Cooling Associated with Slow Translation Speed,https://doi.org/10.1175/MWR-D-22-0039.1,Monthly Weather Review,2023,yes,None,y,y,y,y,,,,n
